address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"Barton Centre, 84, MG Road, Bangalore",The 13th Floor,No,Yes,4.4 /5,4611,080 41783355,MG Road,Lounge,"Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito","Asian, North Indian, Thai","1,700",
 ('Rated 4.0', 'RATED\n  It is a nice place, had been there on my brotherÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s birthday. The food tastes good and the drinks are also of good quality. They do have seating both inside and outside with candle lights. The view is magnificent from here. Had a good time.'), ('Rated 5.0', 'RATED\n  Well, thereÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s nothing not to like at The 13th floor. Ambience being the winning parameter. The food was finger licking good too. Specially, my personal favourite that I ordered in all 3 visits of mine - gunpowder egg. Must try as per my recommendation. However, I did not liked the service as it was too slow and sometimes you might feel bit ignored if you got the seat at the L section. I felt neglected and that I never like in any place. But the wait is worth here and manageable at this place as ambience make you connect to your partner here better.'), ('Rated 5.0'," """"RATED\n  I went to this place only because I was so intrigued by the name. It has the perfect ambience and as good a view you can ask for in Bengaluru. The highlight for me was the impeccable music", all throughout the evening. It did wonders in setting an amazing mood.\nAs for the food, I had the Burmese khowsuey and it was absolutely delicious - the curry," """"RATED\n  Amazing sunset...the entire city was 'lit'...couldn't resist clicking pictures as the night was nearing....wonderful ambience....happy hours menu was budget friendly and each dish was do unique....Nukkad drink was refreshing...very courteous staff....thank you for the amazing experience."""")"
"1 MG Mall, MG Road, Bangalore",Yauatcha,No,Yes,4.6 /5,2369,+91 9222222800,MG Road,Fine Dining,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Macaroon, Chocolate Hazelnut Mousse","Chinese, Asian, Cantonese, Tea","2,800",Dine-out
"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road, Bangalore",The Tao Terraces,Yes,Yes,3.9 /5,1940,080 49653408,MG Road,Casual Dining,"Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini","Thai, Japanese, Korean, Burmese, Chinese","2,100",Dine-out
"The Oberoi, 37-39, MG Road, Bangalore",Rim Naam - The Oberoi,No,No,4.6 /5,988,080 25585858,MG Road,Fine Dining,"Seafood Soup, Mocktails, Mushroom Salad, Thai Salad, Wine, Jasmine Rice, Thai Red Curry",Thai,"3,000",Dine-out
"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe Azzure,Yes,Yes,4.2 /5,2733,080 49653400,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","Cafe, Continental, Italian, Burger","1,200",
 ('Rated 5.0', 'RATED\n  Perfect place to experience the cool Bangalore breeze. Situated right next to the metro station, this place is a gem. They serve good food, have prompt service. We also tried the hookah here which was pretty nice. A very nice place to catch up with friends!'), ('Rated 4.0', 'RATED\n  One of the most conveniently located restaurant. Nice city feels, metro passing by. You can go here for a chilled out weekend vibes.\n\nWe tried a lot of things, all decent but my favorites were the cafe special pizza, peri peri fish and butter garlic prawns.\n\nDesert were a bit disappointing but that can be pardoned given the extra touch provided by amazing hukka options that this place provides'), ('Rated 4.0', 'RATED\n  Hit this place last weekend and after 20 minutes of wait we finally got a place in the outdoor seating! Only then I realised itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s a place for hookah lovers! Made a random plan and didnÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99t go through any of the reviews .. as it was closer to the metro, this was an ideal place for us! TheyÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99ve pretty decent ambience and itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s mostly crowded. Ordered for kitkat shake, ('Rated 4.0'
"Opposite Metro Station, MG Road, Bangalore",SkyDeck By Sherlock's,No,Yes,4.2 /5,1461,"+91 9739089178
+91 9738184163",MG Road,"Pub, Casual Dining","Salad, Beer, Nachos, Chicken Wings, Onion Rings, Chilli Paneer, Roti","Continental, Chinese, Finger Food, North Indian","1,500",
 ('Rated 4.0', 'RATED\n  A great place. Good ambiance with multiple sitting options. The food n the drinks menu is quite good. The taste of food was also nice. I wud definitely go again.\nBut the show stopper was the wonderful n very very musically delightful experience of listening to a live performance of violin. Kudos to the guy, amazing performance.b'), ('Rated 4.0'," """"RATED\n  Had been here on a Saturday for my friend's birthday bash..crowd was nice and the staff was also very quick and positive...the beverages were a delight and the food was also worth the money.Overall nice place to chill."""")", ('Rated 5.0', 'RATED\n  The staff was very courteous and knowledgeable. After minor hiccup of getting desired seats, they were quick to take and deliver the order. Music was good and food was tasty. Drinks were good and the overall experience was liked by everyone in team.'), ('Rated 2.0', 'RATED\n  Visited here with my friends on a weekday. The ambience is good, service is a bit slow. The food is okayish, nothing great. We ordered veg noodles, 'RATED\n  It was not a planned visit. I and my friends decided to visit a place which will give you serene environment. So we decided to visit this place as this place is located just opposite to MG road metro station with a rooftop view. The staff were good and humble as they gave us a perfect place to sit even though it was not possible for them.\nIt was one of the best evening we had after a long time and the credit goes to SKYDECK. We have not ordered any food as we were chilling and drinking.\nOverall experience:\nService: 5/5\nEntertainment: 5/5\nAmbience: 5/5')
"1, Brunton Road, 1st Cross, Ashok Nagar, MG Road, Bangalore",Portland Steakhouse & Cafe,Yes,Yes,4.3 /5,2051,"080 25593405
080 41127142",MG Road,Casual Dining,"Spaghetti, Beef Steak, Bbq Chicken Pizza, Burgers, Apple Pie, Ice Tea, Salads","Steak, Italian, Continental, American, Burger, BBQ, Salad","1,500",Dine-out
"18, Ramashree Arcade, MG Road, Bangalore",Dindigul Thalappakatti,Yes,No,NEW,0,+91 8043774001,MG Road,Casual Dining,"Biryani, Fish, Pepper Chicken","Biryani, Chinese, North Indian, South Indian",800,Dine-out
"Level 5, 1 MG Mall, Swami Vivekananda Road, Trinity Circle, MG Road, Bangalore",CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Felix,Yes,Yes,4.4 /5,725,080 22086644,MG Road,"Casual Dining, Cafe","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Salad, Cocktails","American, Cafe, Continental","1,700",
 expected better service especially during weekends, looks like they were short staffed to attend the table regularly. Overall nice place to visit.'), ('Rated 4.0'," """"RATED\n  It's a nice place to hangout with family and friends....not much pocket friendly ..but at least try once if you are a food lover...\nAmbience 4/5\nDecent...they have a party place on up floor...\nService 3/5\nMay be I expect more...quite slow even not much busy and a standard restaurant...\nFood 4/5\nOrdered French fries and pepperoni pizza ...decent\nDrinks 3/5\nI ordered their in house cocktail rum diary as a rum.lover...it's a mixture of white rum and golf rum with fresh fig and mint...it didn't reach my expectations...full of ice and didn't get the flavour....may be I expect too much on this place..\nAnyway try once ...for experience ...."""")", ('Rated 3.0', 'RATED\n  I happened to meet up some old friends for lunch in Cafe Felix this week. This place is housed in 1 MG Mall and theres a glass wall on one side of the restaurant, with a good view of the surrounding area. The seating was comfortable and staff was courteous and knew their jobs well.\nWe ordered for soups and juices along with some bites for starters. There were veg/n veg pizzas for main course and that was quite filling.\nThe hygiene level was v good and food was of decent quality.\nThe aircon seemed to be less cooling and it was a bit stuffy but the staff did not pay heed to our requests to check the settings.\nAll in all, it was worth one visit but I would not wish to opt for this restaurant if there would be other options on hand.'), ('Rated 5.0', 'RATED\n  We visited this place on a Sunday night during the say cheese festival. Beautiful presentation is one of their strong points. Loved their crispy potatoes. Caramelized cheese burst faggotini was heavenly, highly recommended.'), ('Rated 5.0', 'RATED\n  Located at one of the most happening place in Bangalore is a roof top restaurant cafe Felix
"38, MG Road Area, MG Road, Bangalore",KC Das,Yes,No,3.9 /5,376,"080 25587003
+91 9343767470",MG Road,"Sweet Shop, Quick Bites","Rasgulla, Luchi, Samosa, Radhaballavi, Rasmalai, Kheer Kadam, Chamcham","Mithai, Street Food",200,Dine-out
"No.18, Ramanashree Arcade, Ground Floor, Ashok Nagar Post, MG Road, Bangalore",Chianti,No,Yes,4.5 /5,308,080 43755274,MG Road,Casual Dining,"Pizza, Seafood Pasta, Panna Cotta, Tiramisu, Lasagne, Ravioli, Virgin Sangria",Italian,"1,500",
 especially their tiramisu n panna cotta which IÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99ve tried in other restaurants but this one was sheer delight.'), ('Rated 4.0', 'RATED\n  Every day while travelling to office I used to see this place and finally landed there. The places is really cozy and the people polite. We ordered Gamberoni Agilo E Pepronica which in simpler terms are baby tiger prawns ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â°ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x9fÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x8dÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¤ which which had been tossed with garlic mostly but you wonÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99t feel that strong taste of garlic, itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s very subtle and smells & tastes good. We also had Pollo Del Chianti i.e chicken breast with its own tossing of cheese ,cream and mushrooms along with mashed potatoes, it tastes good and had that strong cheese flavour and lastly Petto DÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99Anatra Arrosto i.e Roasted duck along with sides, this was not at all upto the mark the portion of duck seemed very very stiff and was difficult to chew as well( should have avoided ordering the same, it turned out to be a bad decision)..,overall the food presentation and preparation was very good. Will take another shot at it in the coming days.'), ('Rated 3.0', 'RATED\n  This was a pretty expensive place looking at the ambiance and food quality. ItÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s tasty but little higher on the cost side. Can be visited atleast once.'), ('Rated 5.0', ('Rated 5.0'
"2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore",Bangalore Pub Exchange,No,Yes,4.2 /5,225,"+91 9113636391
+91 9902526032",MG Road,"Pub, Casual Dining","Pizza, Fish, Cocktails, Cosmopolitan, Pasta Alfredo, Brownie Chocolate, Potli Biryani","Continental, Finger Food, Pizza, North Indian","1,000",Dine-out
"The Oberoi, 37-39, MG Road, Bangalore",Le Jardin - The Oberoi,No,No,4.3 /5,698,"080 25585858
080 41358205",MG Road,Fine Dining,"Breakfast Buffet, Biryani, Chocolate Cake, Salads, Pasta, Paneer Tikka, Mushroom Soup","European, Mediterranean, North Indian","3,000",
 ('Rated 2.0'," 'RATED\n  If it wasn\'t for 1+1 Dine Out coupons you would get robbed for horrible food and service. Don\'t expect anything like Oberoi standards in this restaurant. I would say a bufftet worth Rs. 300 will have more decent food than this. Veg starters had nothing but """"ghas-phus"""" and main course was cold and tasteless. The staff was ultra slow in service it took them 30 min to fill my glass with water and 45 mins to generate my bill. They realized that we had mentioned the reason for visit as anniversary dinner only after searching for our details through Dine Out for nearly 20 mins when we asked for the check.....it was very a disappointing experience.\n\nAmbiance :5/5\nService : 2/5\nFood: 1/5')", ('Rated 2.0', 'RATED\n  This was a bday dinner table booked through dineout. Thanks to dineout for 1+1 else I would have regretted. Place was crowded with team dinners happening around. As soon as we entered the place I realised this is not a great spread. Worst part being a vegetarian is they have not separated the veg and non veg counters.\n\nOne soup one veg starter one pizza slice is what you can expect. After display of disappointment on starters they got us a veg platter. Main course had good options however taste is average.\n\nService is extremely slow.\n\nThey have lot of salad options which you would never ever imagine to eat. Desserts are below average.\n\nWhat I liked: dhokla, raitha, chats, mirchi kadhi\n\nOverall experience: 2.5/5\nAmbience: 3/5\nService: 2/5\nTaste: 2/5\nSpread: 3/5'), ('Rated 4.0', 'RATED\n  The food is really good here. However, the MG Road Oberoi always leaves an off-taste at its restaurants. There was a mix up with our order (read: server never wrote down mine) and that made it all slightly awkward. However, when the food came, it was delicious. I say the restaurants always leave something wanted because when we went to Rim Naam, ('Rated 4.0'
"52, 3rd Floor, Above Pantaloons, MG Road, Bangalore",BBQ@52,No,Yes,3.9 /5,53,"+91 8147332157
+91 8884854771",MG Road,Casual Dining,Pasta,"BBQ, Biryani, Continental","1,500",Dine-out
"Vivanta By Taj, 41/3, MG Road, Bangalore",Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1 /5,568,"080 66604266
080 66604444",MG Road,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani","North Indian, Italian, South Indian, Continental, Cafe, Salad","2,500",Dine-out
"5th Floor, Bangalore Central Mall, MG Road, Bangalore",Salvadores,No,Yes,4.4 /5,195,080 49653001,MG Road,Fine Dining,"Wine, Salad, Steak, Coffee, Pork Chops","Mediterranean, Continental, French, Italian","2,000",
 ('Rated 4.0'," """"RATED\n  Chose this as the place for my birthday dinner based on reviews. Was a little taken aback when I walked in as the restaurant was practically empty on a Friday night. My first instinct was to flee but am glad I didn't.\nI love rooftop seating (who wouldn't", in Bangalore November weather:)) as it is, and the lovely lighting," soft music and ambience added to the charm.\nHad the chimichurra fish and white wine and the Tres leche cake for dessert. Perfect place for dates!!"""")", ('Rated 4.0', 'RATED\n  This was a very unexpected find. We were just hanging out around and we happened to bump into this place.\n\nI just say, itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s underrated. Firstly, the place was amazing! Both the indoors and outdoors. We sat outside and it was so romantic! Though itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99s on the 5th floor(not too high up), the view was pretty good.\n\nThe food taste good and the manager has pretty good choices to suggest. Is definitely a must try.\n\nA quiet, cozy, satisfying Saturday dinner.\n\nPs: Extra points for the Christmas decor!'), ('Rated 4.0'
"2nd &3rd Floor, 1 MG Mall, MG Road, Bangalore",Smaaash,No,Yes,4.2 /5,549,"+91 9113636391
+91 9902526032",MG Road,"Casual Dining, Pub","Pizza, Nachos, Draught Beer, Pasta, Brownie, Potli Biryani, Mojito","North Indian, Pizza, Chinese","1,500",Dine-out
"36, Public Utility Building, 1st Floor, MG Road, Bangalore",RS Shiv Sagar,No,No,4.1 /5,268,"080 41251493
080 25593840",MG Road,Casual Dining,"Biryani, Roti, Sweet Corn Soup, Pav Bhaji, Broccoli Soup, Masala Dosa, Manchow Soup","North Indian, Mexican, Continental, Street Food",600,Dine-out
"Royal Orchid Central, Level 10,Manipal Centre, Cubbon Road, Off MG Road,Bangalore",Ging - Royal Orchid Central,Yes,Yes,4.4 /5,232,+91 9902000063,MG Road,"Bar, Casual Dining","Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,"2,000",Dine-out
"Vivanta By Taj, 41/3, MG Road, Bangalore",Memories of China - Taj MG Road Bengaluru,No,Yes,4.3 /5,454,"080 66604276
080 66604444",MG Road,Fine Dining,"Crispy Prawns, Momos, Cocktails, Pan Fried Noodles, Chocolate Cake, Veg Dim Sums, Dumplings","Chinese, Momos","3,000",Dine-out
"Level 4, Trinity Circle, MG Road, Bangalore",Foodhall,Yes,No,4.0 /5,114,080 71967804,MG Road,Casual Dining,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food","1,000",
 ('Rated 4.0'," """"RATED\n  They offer a variety of pastries and other snacking options. My favourite is the live pasta counter where the chef customises the pasta as per our choice"," and it's always been delicious.\n\nalthingsbeautiful.wordpress.com"""")", ('Rated 5.0', 'RATED\n  Few years back, going to Foodhall India was absolutely an uber gourmet experience.Now being a home chef and a food blogger, I realized for exclusive and ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x98not so easily availableÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¢ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x80ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x99 fresh vegetables and groceries, one have to visit Foodhall and I love shopping there.This time I tried some of their CafÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚Ã‚Â¨ items and absolutely liked the quality - be it their premium teas, winter special menu like beetroot Kanji/ rose petal tea, Buddha bowls, super healthy salads, dim sums, and desserts - you name it and they have it on the menu. Do try this cafe and good news is that now you can order through #swiggy as well.\n\nyougottatryit.in')
"Vivanta By Taj, 41/3, MG Road, Bangalore",Ice - Taj MG Road Bengaluru,No,Yes,4.1 /5,613,"080 66604333
080 66604444",MG Road,Club,"Cocktails, Paneer Tikka, Beer",Continental,"2,800",Dine-out
"The Park Bangalore, 14/7, MG Road, Bangalore",i-Bar - The Park Bangalore,No,No,3.8 /5,623,"080 25320445
+91 9049882302",MG Road,Lounge,Fish Fingers,"North Indian, Chinese, Mediterranean","3,000",Dine-out
"Level 5, 1 MG Road Mall, Trinity Circle, MG Road, Bangalore",Fort Kochi,No,Yes,4.1 /5,338,"080 22086666
+91 9743488882",MG Road,"Casual Dining, Bar","Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails","Kerala, Seafood","1,800",Dine-out
"6/2, Primrose Road, MG Road, Bangalore",Happy Belly Bakes,Yes,No,4.1 /5,119,080 48654072,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Chicken Pizza, Brownie, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Dine-out
"65-66, Hotel Komfort Terraces, MG Road, Bangalore",WYT RestroPub,No,No,2.6 /5,408,"+91 9481189650
080 40097000",MG Road,Pub,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails","North Indian, Chinese","1,000",
